 Section , Fixture Type , Circuit , Kind Of Ballast/Driver , Work Center , Wires Qty , Option , ID , Task , Time (min) 
-,Grid LED,1,D,Assembly,5,ewdd1r,3,plug 5x pc252 connectors for continius row wires,0
-,Grid LED,2,D,Assembly,5,ewdd2r,1,bring exit wires to exit#1,0.15
-,Grid LED,2,D,Assembly,5,ewdd2r,2,bring exit wires to exit#2,0.15
-,Grid LED,2,D,Assembly,5,ewdd2r,3,bring power wires for continious row,0
-,Grid LED,2,D,Assembly,5,ewdd2r,4,plug 5x pc252 connectors for continius row wires,0
Complete Section,pendant,1,D,Assembly,5,ewdd1p,1,bring exit wires to exit#1,0.1
Complete Section,pendant,1,D,Assembly,5,ewdd1p,2,bring exit wires to exit#2,0
Complete Section,pendant,1,D,Assembly,5,ewdd1p,3,plug 5x pc252 connectors to exit wires#2,0
Complete Section,pendant,1,D,Assembly,5,ewdd1p,4,plug power cord 5 wires to exit wires & screw to housing with plastic clamp,1.75
Complete Section,pendant,1,D,Assembly,5,ewdd1p,5,turn power cord,0.17
Complete Section,pendant,2,D,Assembly,5,ewdd2p,1,bring exit wires to exit#1,0.15
Complete Section,pendant,2,D,Assembly,5,ewdd2p,2,bring exit wires to exit#2,0.15
Complete Section,pendant,2,D,Assembly,5,ewdd2p,3,bring power wires for continious row,0
Complete Section,pendant,2,D,Assembly,5,ewdd2p,4,plug 5x pc252 connectors for continius row wires,0
Complete Section,pendant,2,D,Assembly,5,ewdd2p,5,plug power cords 5 wires to exit wires & screw to housing with plastic clamp,3.5
Complete Section,pendant,2,D,Assembly,5,ewdd2p,6,turn power cords,0.34
Complete Section,recessed,1,D,Assembly,5,ewdd1r,1,bring exit wires to exit#1,0.15
Complete Section,recessed,1,D,Assembly,5,ewdd1r,2,bring power wires for continious row,0
Complete Section,recessed,1,D,Assembly,5,ewdd1r,3,plug 5x pc252 connectors for continius row wires,0
Complete Section,recessed,2,D,Assembly,5,ewdd2r,1,bring exit wires to exit#1,0.15
Complete Section,recessed,2,D,Assembly,5,ewdd2r,2,bring exit wires to exit#2,0.15
Complete Section,recessed,2,D,Assembly,5,ewdd2r,3,bring power wires for continious row,0
Complete Section,recessed,2,D,Assembly,5,ewdd2r,4,plug 5x pc252 connectors for continius row wires,0
